landuse,latitudes,longitudes
quarry,"[45.4354799, 45.4353632, 45.4349343, 45.4341924, 45.4341826, 45.4342089, 45.4337485, 45.434189, 45.4354799]","[9.2499999, 9.2495707, 9.2493132, 9.2505979, 9.2506149, 9.2510011, 9.251931, 9.2520276, 9.2499999]"
meadow,"[45.4370306, 45.4369403, 45.4367761, 45.4361438, 45.4357658, 45.4354963, 45.4354948, 45.4345165, 45.4341927, 45.4336141, 45.4332667, 45.4335603, 45.4336859, 45.4338464, 45.4341487, 45.434524, 45.4351485, 45.4360444, 45.4363584, 45.4367761, 45.4370306]","[9.2480308, 9.2477734, 9.2479649, 9.2489734, 9.2492325, 9.2498317, 9.2500479, 9.2515714, 9.2520756, 9.2521598, 9.2530734, 9.2532987, 9.2532752, 9.2532451, 9.2530181, 9.2525048, 9.2520005, 9.2505199, 9.2499207, 9.2491236, 9.2480308]"
industrial,"[45.4458872, 45.4456785, 45.445413, 45.4453143, 45.4449441, 45.4447781, 45.4446309, 45.4441402, 45.4439334, 45.4436655, 45.4435015, 45.4432953, 45.4432459, 45.4430599, 45.442936, 45.4423601, 45.4394979, 45.4404033, 45.4422326, 45.4425036, 45.4427644, 45.4433305, 45.4436294, 45.4436628, 45.4446979, 45.4451571, 45.4454592, 45.4456588, 45.4457123, 45.4458705, 45.4458872]","[9.2318897, 9.2317976, 9.2316805, 9.2317224, 9.2318634, 9.2319324, 9.2319925, 9.2321775, 9.2322579, 9.2323634, 9.2324264, 9.2325074, 9.2325268, 9.2325985, 9.2326467, 9.2328693, 9.2339869, 9.2343369, 9.235044, 9.2350172, 9.234917, 9.2346996, 9.2345847, 9.2345719, 9.2337136, 9.2331478, 9.2326271, 9.2322832, 9.2323431, 9.2319329, 9.2318897]"
grass,"[45.4573647, 45.4574442, 45.4574615, 45.4574897, 45.4575128, 45.4575425, 45.4575928, 45.4571616, 45.4571168, 45.457099, 45.4570716, 45.457017, 45.4569982, 45.4570039, 45.4570203, 45.4570415, 45.4570786, 45.4571243, 45.4572936, 45.4573289, 45.4573647]","[9.2405794, 9.2412741, 9.2413259, 9.24137, 9.2413919, 9.241408, 9.241419, 9.2420021, 9.2419293, 9.2419448, 9.241889, 9.2417147, 9.2415591, 9.2414196, 9.2413158, 9.2412185, 9.2411005, 9.2409905, 9.2406579, 9.240615, 9.2405794]"
farmland,"[45.4412041, 45.4406373, 45.440966, 45.4414328, 45.4417195, 45.4419097, 45.4423356, 45.4426167, 45.4428248, 45.4434091, 45.4439139, 45.4438333, 45.443889, 45.4437551, 45.443475, 45.4431529, 45.4424287, 45.4425341, 45.4424774, 45.4423655, 45.442674, 45.4426182, 45.4419013, 45.4418649, 45.4415193, 45.4412041]","[9.2440364, 9.2433143, 9.2429372, 9.2425176, 9.2422195, 9.2420095, 9.2415391, 9.2412834, 9.2410278, 9.2399748, 9.2406121, 9.2407318, 9.241079, 9.241395, 9.2417764, 9.2412662, 9.2420982, 9.2422377, 9.2423139, 9.2423607, 9.2430835, 9.2431647, 9.2436102, 9.243403, 9.2435293, 9.2440364]"
orchard,"[45.44282, 45.443475, 45.4431529, 45.4424287, 45.4425341, 45.4425619, 45.44282]","[9.2425059, 9.2417764, 9.2412662, 9.2420982, 9.2422377, 9.2422644, 9.2425059]"
meadow,"[45.4508661, 45.4506102, 45.4504751, 45.4503998, 45.4507532, 45.4507155, 45.4508661]","[9.2598865, 9.2595968, 9.2597685, 9.2601333, 9.2614207, 9.2607448, 9.2598865]"
farmland,"[45.4502417, 45.4505349, 45.4503245, 45.4493988, 45.4494665, 45.4500457, 45.4502417]","[9.260144, 9.2617426, 9.2624078, 9.2615388, 9.2612598, 9.260203, 9.260144]"
farmland,"[45.4506327, 45.450279, 45.4494815, 45.4481644, 45.4479235, 45.4472912, 45.4474418, 45.4478859, 45.449173, 45.4499181, 45.4506327]","[9.2636952, 9.2626814, 9.2619464, 9.2638133, 9.2637811, 9.2646179, 9.2646072, 9.2644248, 9.2650793, 9.2647574, 9.2636952]"
railway,"[45.4289487, 45.4296263, 45.4297581, 45.4297509, 45.4305483, 45.4306202, 45.430575, 45.4310192, 45.4321825, 45.4326961, 45.4329835, 45.4333454, 45.4334132, 45.4334396, 45.4334208, 45.4333568, 45.4332344, 45.4328601, 45.4329408, 45.4330935, 45.433338, 45.4334208, 45.4334848, 45.4335249, 45.4335314, 45.4334931, 45.4334283, 45.4333191, 45.4330231, 45.4330709, 45.4326831, 45.4327772, 45.4326003, 45.432717, 45.4327095, 45.4327735, 45.4327144, 45.4326416, 45.4324723, 45.4307632, 45.4295134, 45.4292574, 45.4290825, 45.4290031, 45.4288848, 45.4286874, 45.4284818, 45.428284, 45.4281204, 45.4280293, 45.4279767, 45.4280336, 45.4279583, 45.4278962, 45.427855, 45.4278418, 45.4278456, 45.4278738, 45.4279039, 45.4278701, 45.4279397, 45.4280393, 45.4281788, 45.4282955, 45.4283724, 45.4284572, 45.4288769, 45.4291518, 45.4294814, 45.4289487]","[9.2550961, 9.2562548, 9.2560832, 9.2561069, 9.2574353, 9.2575584, 9.257607, 9.2583792, 9.2570005, 9.257873, 9.2575406, 9.2581775, 9.2584489, 9.2586635, 9.2589263, 9.2591892, 9.2594126, 9.2598544, 9.2599866, 9.2597524, 9.259452, 9.2592804, 9.2590712, 9.258829, 9.2585657, 9.2583398, 9.2581296, 9.2579267, 9.2574205, 9.2573492, 9.2566894, 9.2565606, 9.2559813, 9.2558418, 9.2557989, 9.2557589, 9.2555575, 9.2552966, 9.2548869, 9.252768, 9.2512177, 9.250987, 9.2508767, 9.2508562, 9.2508256, 9.2508367, 9.2508958, 9.2510227, 9.2511855, 9.2513048, 9.2513839, 9.2514733, 9.2516369, 9.2518381, 9.2520573, 9.2522773, 9.2524811, 9.2526608, 9.2527788, 9.252803, 9.2530149, 9.2532328, 9.2534092, 9.2535272, 9.2535849, 9.2536485, 9.2537853, 9.2539087, 9.254482, 9.2550961]"
